"PersonNumber","FirstName","LastName","GenderAsString","ParlGroupName","PartyName","PartyAbbreviation","DateJoining","DateLeaving","DateElection","DateOath","DateResignation","DateOfBirth","DateOfDeath"
14,"Duri","Bezzola","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2003-12-01T00:00:00","2007-03-04T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-03-04T00:00:00","1942-06-23T00:00:00",
15,"Max","Binder","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2011-12-05T00:00:00","2015-11-29T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2015-11-29T00:00:00","1947-11-26T00:00:00",
16,"Peter","Bircher","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1939-06-01T00:00:00",
17,"Silvio","Bircher","m","Groupe socialiste","Parti socialiste suisse","PSS","1979-11-26T00:00:00","1993-05-30T00:00:00","1979-11-26T00:00:00","1979-11-26T00:00:00","1993-05-31T00:00:00","1945-09-25T00:00:00",
18,"Hardi","Bischof","m","Groupe des Démocrates suisses et de la Ligue des Tessinois","Démocrates Suisses","DS","1991-11-25T00:00:00","1995-12-03T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1995-12-03T00:00:00","1957-07-30T00:00:00",
19,"Hans","Bisig","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1942-04-27T00:00:00",
20,"Ulrich","Blatter","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1987-11-30T00:00:00","1995-04-20T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1995-04-20T00:00:00","1940-12-29T00:00:00","1995-04-20T00:00:00"
21,"Christoph","Blocher","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2011-12-05T00:00:00","2014-05-31T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2014-05-31T00:00:00","1940-10-11T00:00:00",
22,"Peter","Bloetzer","m","Le Groupe du Centre. Le Centre. PEV.",,,"1995-12-04T00:00:00","1999-12-05T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1999-12-05T00:00:00","1933-09-16T00:00:00","2018-10-11T00:00:00"
23,"Peter","Bodenmann","m","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1997-06-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1997-06-05T00:00:00","1952-03-30T00:00:00",
24,"Jean-Pierre","Bonny","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1931-06-20T00:00:00",
25,"François","Borel","m","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1948-12-01T00:00:00",
26,"Roland F.","Borer","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2011-12-05T00:00:00","2015-11-29T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2015-11-29T00:00:00","1951-01-27T00:00:00",
27,"Marco","Borradori","m","Groupe des Démocrates suisses et de la Ligue des Tessinois","Lega dei Ticinesi","Lega","1991-11-25T00:00:00","1995-04-11T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1995-04-11T00:00:00","1959-06-06T00:00:00","2021-08-11T00:00:00"
28,"Toni","Bortoluzzi","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2011-12-05T00:00:00","2015-11-29T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2015-11-29T00:00:00","1947-02-16T00:00:00",
29,"Cyrill","Brügger","m","Groupe socialiste","Parti socialiste suisse","PSS","1987-09-21T00:00:00","1995-12-03T00:00:00","1987-09-21T00:00:00","1987-09-21T00:00:00","1995-12-03T00:00:00","1938-07-10T00:00:00",
30,"Christiane","Brunner","f","Groupe socialiste","Parti socialiste suisse","PSS","2003-12-01T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-12-02T00:00:00","1947-03-23T00:00:00",
31,"Robert","Bühler","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1989-06-19T00:00:00","1995-12-03T00:00:00","1989-06-19T00:00:00","1989-06-19T00:00:00","1995-12-03T00:00:00","1928-09-21T00:00:00",
32,"Simeon","Bühler","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1980-03-03T00:00:00","1994-12-31T00:00:00","1980-03-03T00:00:00","1980-03-03T00:00:00","1994-12-31T00:00:00","1942-03-10T00:00:00",
33,"Cécile","Bühlmann","f","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","2005-11-19T00:00:00","2006-03-04T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2006-03-05T00:00:00","1949-12-03T00:00:00",
34,"Gerold","Bührer","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2003-12-01T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-12-02T00:00:00","1948-06-23T00:00:00",
35,"Martin","Bundi","m","Groupe socialiste","Parti socialiste suisse","PSS","1975-12-01T00:00:00","1995-12-03T00:00:00","1975-12-01T00:00:00","1975-12-01T00:00:00","1995-12-03T00:00:00","1932-10-19T00:00:00","2020-01-01T00:00:00"
36,"Jakob","Bürgi","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1987-11-30T00:00:00","1995-12-03T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1995-12-03T00:00:00","1934-09-06T00:00:00",
37,"Rolf","Büttiker","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1950-06-27T00:00:00",
38,"Fulvio","Caccia","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","1998-11-28T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1998-11-28T00:00:00","1942-01-03T00:00:00",
39,"Werner","Carobbio","m","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1999-12-05T00:00:00","1975-12-01T00:00:00","1975-12-01T00:00:00","1999-12-05T00:00:00","1936-11-10T00:00:00",
40,"Elisabeth","Caspar-Hutter","f","Groupe socialiste","Parti socialiste suisse","PSS","1991-11-25T00:00:00","1995-12-03T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1995-12-03T00:00:00","1949-12-03T00:00:00",
41,"Jean","Cavadini","m","Groupe libéral",,,"1995-12-04T00:00:00","1999-12-05T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1999-12-05T00:00:00","1936-07-27T00:00:00","2013-01-09T00:00:00"
42,"Adriano","Cavadini","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1942-06-27T00:00:00",
43,"Luregn Mathias","Cavelty","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1979-06-20T00:00:00","1994-12-16T00:00:00","1979-06-10T00:00:00","1979-06-20T00:00:00","1994-12-16T00:00:00","1935-04-01T00:00:00",
44,"Olivier","Chevallaz","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1991-11-25T00:00:00","1995-06-16T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1995-06-16T00:00:00","1946-05-12T00:00:00",
45,"Ernst","Cincera","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1983-11-28T00:00:00","1995-12-03T00:00:00","1983-10-23T00:00:00","1983-11-28T00:00:00","1995-12-03T00:00:00","1928-05-14T00:00:00","2004-10-30T00:00:00"
46,"Dumeni","Columberg","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1941-10-07T00:00:00",
47,"Bernard","Comby","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1939-02-20T00:00:00",
48,"Gianfranco","Cotti","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1979-11-26T00:00:00","1993-10-08T00:00:00","1979-11-26T00:00:00","1979-11-26T00:00:00","1993-10-08T00:00:00","1929-11-03T00:00:00","2020-03-31T00:00:00"
49,"Anton","Cottier","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","2003-11-30T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","2003-11-30T00:00:00","1943-12-04T00:00:00","2006-11-03T00:00:00"
50,"Pascal","Couchepin","m",,"PLR.Les Libéraux-Radicaux","PLR","2009-01-01T00:00:00","2009-10-31T00:00:00","1998-03-11T00:00:00","2009-01-01T00:00:00","2009-10-31T00:00:00","1942-04-05T00:00:00",
51,"Gilbert","Coutau","m","Groupe libéral","Parti libéral démocrate","PLD","1991-11-25T00:00:00","1995-12-03T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1995-12-03T00:00:00","1936-03-11T00:00:00",
52,"Susanna","Daepp-Heiniger","f","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1988-02-29T00:00:00","1994-06-30T00:00:00","1988-02-29T00:00:00","1988-02-29T00:00:00","1994-06-30T00:00:00","1938-08-20T00:00:00",
53,"Hans","Danioth","m","Le Groupe du Centre. Le Centre. PEV.",,,"1995-12-04T00:00:00","1999-12-05T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1999-12-05T00:00:00","1931-05-25T00:00:00","2020-08-22T00:00:00"
54,"Menga","Danuser","f","Groupe socialiste","Parti socialiste suisse","PSS","1987-11-30T00:00:00","1995-12-03T00:00:00","1987-10-18T00:00:00","1987-11-30T00:00:00","1995-12-03T00:00:00","1951-07-31T00:00:00","2011-09-03T00:00:00"
55,"Vital","Darbellay","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1979-11-26T00:00:00","1995-12-03T00:00:00","1979-11-26T00:00:00","1979-11-26T00:00:00","1995-12-03T00:00:00","1929-05-19T00:00:00","2019-11-29T00:00:00"
56,"Jean-Nils","de Dardel","m","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","2003-11-30T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2003-11-30T00:00:00","1943-11-04T00:00:00",
57,"Eugen","David","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-11-25T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1945-09-03T00:00:00",
58,"Joseph","Deiss","m",,"Parti démocrate-chrétien suisse","PDC","2005-01-01T00:00:00","2006-07-31T00:00:00","1999-03-11T00:00:00","2005-01-01T00:00:00","2006-07-31T00:00:00","1946-01-18T00:00:00",
59,"Edouard","Delalay","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","1999-12-05T00:00:00","1987-09-21T00:00:00","1987-09-21T00:00:00","1999-12-05T00:00:00","1936-11-06T00:00:00",
60,"Toni","Dettling","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1999-12-06T00:00:00","2003-11-30T00:00:00","1999-12-06T00:00:00","1999-12-06T00:00:00","2003-11-30T00:00:00","1943-06-05T00:00:00",
61,"Verena","Diener Lenz","f","Groupe vert'libéral","Parti vert'libéral","pvl","2015-11-30T00:00:00","2015-12-07T00:00:00","2015-10-18T00:00:00","2015-11-30T00:00:00","2015-12-07T00:00:00","1949-03-27T00:00:00",
63,"Rosmarie","Dormann","f","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","2003-11-30T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2003-11-30T00:00:00","1947-03-27T00:00:00",
64,"Michael E.","Dreher","m","Groupe du Parti suisse de la liberté","Freiheits-Partei der Schweiz","FPS","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1944-01-08T00:00:00",
65,"Dominique","Ducret","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1987-11-30T00:00:00","1995-12-03T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1995-12-03T00:00:00","1943-02-25T00:00:00",
66,"Max","Dünki","m","Groupe AdI/PEP",,,"1999-04-20T00:00:00","1999-12-05T00:00:00","1995-10-22T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1932-06-05T00:00:00","2011-10-27T00:00:00"
67,"Pierre","Duvoisin","m","Non inscrit","Parti socialiste suisse","PSS","1994-12-01T00:00:00","1995-12-03T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1995-12-03T00:00:00","1938-09-12T00:00:00",
69,"Georges","Eggenberger","m","Groupe socialiste","Parti socialiste suisse","PSS","1990-06-05T00:00:00","1995-12-03T00:00:00","1987-10-18T00:00:00","1990-06-05T00:00:00","1995-12-03T00:00:00","1928-09-22T00:00:00","2010-12-01T00:00:00"
70,"Jacques-Simon","Eggly","m","Groupe libéral-radical","Parti libéral démocrate","PLD","2003-12-01T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-12-02T00:00:00","1942-09-04T00:00:00",
71,"Rolf","Engler","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1951-08-03T00:00:00",
72,"Simon","Epiney","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","2003-12-01T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-12-02T00:00:00","1950-02-12T00:00:00",
73,"Pierre","Etique","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1983-11-28T00:00:00","1993-11-20T00:00:00","1983-11-28T00:00:00","1983-11-28T00:00:00","1993-11-20T00:00:00","1945-02-12T00:00:00","1993-11-20T00:00:00"
74,"Christoph","Eymann","m","Groupe libéral-radical","Parti libéral démocrate","PLD","2019-12-02T00:00:00","2021-11-28T00:00:00","2019-10-20T00:00:00","2019-12-02T00:00:00","2021-11-28T00:00:00","1951-01-15T00:00:00",
75,"Angeline","Fankhauser","f","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1936-07-25T00:00:00",
76,"Hugo","Fasel","m","Groupe des VERT-E-S","Parti chrétien-social","PCS","2007-12-03T00:00:00","2008-11-30T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2008-11-30T00:00:00","1955-10-04T00:00:00",
77,"Lisbeth","Fehr","f","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1999-12-06T00:00:00","2003-11-30T00:00:00","1999-12-06T00:00:00","1999-12-06T00:00:00","2003-11-30T00:00:00","1938-04-14T00:00:00",
78,"Margrith","von Felten","f","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","1998-08-26T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1944-12-30T00:00:00",
79,"Theo","Fischer","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1998-06-26T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1937-12-25T00:00:00",
80,"Theo","Fischer","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1983-03-14T00:00:00","1995-12-03T00:00:00","1983-03-14T00:00:00","1983-03-14T00:00:00","1995-12-03T00:00:00","1930-02-15T00:00:00",
81,"Ulrich","Fischer","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","2003-11-30T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2003-11-30T00:00:00","1940-02-02T00:00:00",
82,"Michel","Flückiger","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1986-12-01T00:00:00","1994-12-16T00:00:00","1986-12-01T00:00:00","1986-12-01T00:00:00","1994-12-16T00:00:00","1940-02-04T00:00:00",
83,"Claude","Frey","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1995-12-04T00:00:00","2003-11-30T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2003-11-30T00:00:00","1943-07-16T00:00:00",
84,"Walter","Frey","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1999-12-06T00:00:00","2001-11-25T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2001-11-25T00:00:00","1943-07-30T00:00:00",
85,"Bruno","Frick","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1953-05-31T00:00:00",
86,"Oscar","Fritschi","m","Groupe libéral-radical",,,"1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1939-02-25T00:00:00","2016-01-08T00:00:00"
87,"Hans-Rudolf","Früh","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1975-12-01T00:00:00","1995-12-03T00:00:00","1975-12-01T00:00:00","1975-12-01T00:00:00","1995-12-03T00:00:00","1936-04-23T00:00:00",
88,"Ulrich","Gadient","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1980-03-03T00:00:00","1995-01-22T00:00:00","1980-02-10T00:00:00","1980-03-03T00:00:00","1995-01-22T00:00:00","1931-07-24T00:00:00","2016-10-02T00:00:00"
89,"Irène","Gardiol","f","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","1990-02-05T00:00:00","1994-05-29T00:00:00","1990-02-05T00:00:00","1990-02-05T00:00:00","1994-05-29T00:00:00","1937-09-25T00:00:00",
90,"Paul","Gemperli","m","Le Groupe du Centre. Le Centre. PEV.",,,"1995-12-04T00:00:00","1999-12-05T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1999-12-05T00:00:00","1930-01-05T00:00:00","2015-02-23T00:00:00"
91,"Ulrich","Giezendanner","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","2015-11-30T00:00:00","2019-12-01T00:00:00","2015-10-18T00:00:00","2015-11-30T00:00:00","2019-12-01T00:00:00","1953-10-31T00:00:00",
92,"Titus","Giger","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","1983-11-28T00:00:00","1995-12-03T00:00:00","1983-11-28T00:00:00","1983-11-28T00:00:00","1995-12-03T00:00:00","1932-02-04T00:00:00","2021-01-05T00:00:00"
93,"Alexis","Gobet","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1991-11-25T00:00:00","1995-12-03T00:00:00","1991-11-25T00:00:00","1991-11-25T00:00:00","1995-12-03T00:00:00","1943-10-12T00:00:00",
94,"Christine","Goll","f","Groupe socialiste","Parti socialiste suisse","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1956-12-10T00:00:00",
95,"Ruth","Gonseth","f","Groupe des VERT-E-S","Les VERT-E-S suisses","VERT-E-S","1995-12-04T00:00:00","2001-05-31T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2001-06-04T00:00:00","1943-05-31T00:00:00",
96,"Verena","Grendelmeier","f","Groupe AdI/PEP","Alliance des Indépendants","AdI","1995-12-04T00:00:00","1999-04-19T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-04-19T00:00:00","1939-02-16T00:00:00","2018-03-27T00:00:00"
97,"Andreas","Gross","m","Groupe socialiste","Parti socialiste suisse","PSS","2011-12-05T00:00:00","2015-11-29T00:00:00","2011-10-23T00:00:00","2011-12-05T00:00:00","2015-11-29T00:00:00","1952-08-21T00:00:00",
98,"Ruth","Grossenbacher-Schmid","f","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1936-09-13T00:00:00",
99,"Jean","Guinand","m","Groupe libéral","Parti libéral démocrate","PLD","1987-11-30T00:00:00","1993-09-19T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1993-09-19T00:00:00","1943-02-21T00:00:00",
100,"Hans Rudolf","Gysin","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1940-12-29T00:00:00",
101,"Barbara","Haering","f","Groupe socialiste","Parti socialiste suisse","PSS","2003-12-01T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-12-02T00:00:00","1953-09-20T00:00:00",
102,"Rudolf","Hafner","m","Groupe des VERT-E-S","Liste libre (BE)","LL","1987-11-30T00:00:00","1994-12-08T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1994-12-08T00:00:00","1951-12-27T00:00:00",
103,"Ursula","Hafner","f","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1943-06-10T00:00:00",
104,"Gret","Haller","f","Groupe socialiste","Parti socialiste suisse","PSS","1987-11-30T00:00:00","1994-11-30T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1994-11-30T00:00:00","1947-10-01T00:00:00",
105,"Andrea","Hämmerle","m","Groupe socialiste","Parti socialiste suisse","PSS","2007-12-03T00:00:00","2011-12-04T00:00:00","2007-10-21T00:00:00","2007-12-03T00:00:00","2011-12-04T00:00:00","1946-11-09T00:00:00",
106,"Fritz","Hari","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1979-11-26T00:00:00","1995-12-03T00:00:00","1979-11-26T00:00:00","1979-11-26T00:00:00","1995-12-03T00:00:00","1928-02-18T00:00:00",
107,"Trix","Heberlein","f","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2003-12-01T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-12-02T00:00:00","1942-07-17T00:00:00",
108,"Rolf","Hegetschweiler","m","Groupe libéral-radical","PLR.Les Libéraux-Radicaux","PLR","2003-12-01T00:00:00","2007-12-02T00:00:00","2003-10-19T00:00:00","2003-12-01T00:00:00","2007-12-02T00:00:00","1937-12-03T00:00:00",
109,"Andreas","Herczog","m","Groupe socialiste","Parti socialiste suisse","PSS","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-10-22T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1947-02-11T00:00:00","2021-09-12T00:00:00"
110,"Otto","Hess","m","Groupe de l'Union démocratique du Centre","Union Démocratique du Centre","UDC","1995-12-04T00:00:00","1999-12-05T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","1999-12-05T00:00:00","1935-03-18T00:00:00","2014-02-17T00:00:00"
111,"Peter","Hess","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1998-09-21T00:00:00","2003-11-30T00:00:00","1995-12-04T00:00:00","1995-12-04T00:00:00","2003-11-30T00:00:00","1948-05-14T00:00:00",
112,"Franz-Joseph","Hildbrand","m","Le Groupe du Centre. Le Centre. PEV.","Parti démocrate-chrétien suisse","PDC","1987-11-30T00:00:00","1995-12-03T00:00:00","1987-11-30T00:00:00","1987-11-30T00:00:00","1995-12-03T00:00:00","1942-02-02T00:00:00","2022-07-07T00:00:00"
