,PersonNumber,FirstName,LastName,GenderAsString,ParlGroupName,PartyName,PartyAbbreviation,DateJoining,DateLeaving,DateElection,DateOath,DateResignation,DateOfBirth,DateOfDeath
105,111,Peter,Hess,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1998-09-21T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1948-05-14T00:00:00,
107,113,Pia,Hollenstein,f,Groupe des VERT-E-S,Les VERT-E-S suisses,VERT-E-S,2005-11-19T00:00:00,2006-06-05T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-06-05T00:00:00,1950-09-13T00:00:00,
125,131,Josef,Leu,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2006-06-30T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-06-30T00:00:00,1950-09-04T00:00:00,
127,133,Ernst,Leuenberger,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2009-06-30T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2009-06-30T00:00:00,1945-01-18T00:00:00,2009-06-30T00:00:00
128,134,Moritz,Leuenberger,m,,Parti socialiste suisse,PSS,2010-01-01T00:00:00,2010-10-31T00:00:00,1995-09-27T00:00:00,2010-01-01T00:00:00,2010-10-31T00:00:00,1946-09-21T00:00:00,
132,138,Jean-Philippe,Maitre,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2005-02-28T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2005-02-28T00:00:00,1949-06-18T00:00:00,2006-02-01T00:00:00
134,140,Werner,Marti,m,Groupe socialiste,Parti socialiste suisse,PSS,2007-12-03T00:00:00,2008-12-31T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2008-12-31T00:00:00,1957-04-20T00:00:00,
136,142,Flavio,Maspoli,m,Non inscrit,Lega dei Ticinesi,Lega,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-10-24T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1950-01-29T00:00:00,2007-06-12T00:00:00
140,146,Ueli,Maurer,m,,Union Démocratique du Centre,UDC,2020-01-01T00:00:00,2022-12-31T00:00:00,2008-12-10T00:00:00,2020-01-01T00:00:00,2022-12-31T00:00:00,1950-12-01T00:00:00,
145,151,Christian,Miesch,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2014-09-08T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2014-09-08T00:00:00,2015-11-29T00:00:00,1948-02-27T00:00:00,
150,156,Lili,Nabholz,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1944-12-31T00:00:00,
162,168,Gian-Reto,Plattner,m,Groupe socialiste,Parti socialiste suisse,PSS,1995-12-04T00:00:00,2003-11-30T00:00:00,1991-11-25T00:00:00,1991-11-25T00:00:00,2003-11-30T00:00:00,1939-12-10T00:00:00,2009-12-07T00:00:00
164,170,Hansueli,Raggenbass,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1948-07-31T00:00:00,
166,172,Paul,Rechsteiner,m,Groupe socialiste,Parti socialiste suisse,PSS,2019-12-02T00:00:00,2022-12-16T00:00:00,2019-11-17T00:00:00,2019-12-02T00:00:00,2022-12-16T00:00:00,1952-08-26T00:00:00,
167,173,Maximilian,Reimann,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1942-05-07T00:00:00,
187,193,Rémy,Scheurer,m,Groupe libéral,Parti libéral démocrate,PLD,1999-12-06T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1934-03-11T00:00:00,
188,194,Fritz,Schiesser,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2007-12-31T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2007-12-31T00:00:00,1954-04-23T00:00:00,
189,195,Carlo,Schmid-Sutter,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2003-12-01T00:00:00,2007-05-29T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-06-03T00:00:00,1950-03-11T00:00:00,
192,198,Walter,Schmied,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1953-01-09T00:00:00,
199,205,Hanspeter,Seiler,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1933-09-09T00:00:00,
203,210,Jean,Spielmann,m,Non inscrit,Parti Suisse du travail,PdT,2001-10-06T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1944-05-27T00:00:00,
204,211,Vreni,Spoerry,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1996-03-04T00:00:00,2003-11-30T00:00:00,1995-11-26T00:00:00,1996-03-04T00:00:00,2003-11-30T00:00:00,1938-03-08T00:00:00,
207,214,Luzi,Stamm,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1952-09-09T00:00:00,
210,217,Franz,Steinegger,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1943-03-08T00:00:00,
212,219,Rudolf,Strahm,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2004-07-31T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2004-07-31T00:00:00,1943-08-03T00:00:00,
214,221,Marc Frédéric,Suter,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-03-05T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2007-03-05T00:00:00,2007-12-02T00:00:00,1953-04-03T00:00:00,2017-10-11T00:00:00
217,224,Alexander,Tschäppät,m,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2018-05-04T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2018-05-04T00:00:00,1952-04-16T00:00:00,2018-05-04T00:00:00
219,226,Karl,Tschuppert,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1941-05-03T00:00:00,
222,229,Peter,Vollmer,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1946-04-14T00:00:00,
227,234,Roland,Wiederkehr,m,Groupe PEV/UDF,Alliance des Indépendants,AdI,2002-11-25T00:00:00,2003-11-30T00:00:00,1999-12-06T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1943-01-27T00:00:00,
228,235,Milli,Wittenwiler,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1943-09-13T00:00:00,
234,241,Josef,Zisyadis,m,Groupe des VERT-E-S,La Gauche,LG,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1956-04-17T00:00:00,
238,245,Otto,Zwygart,m,Groupe PEV/UDF,Parti évangélique suisse,PEV,1999-12-06T00:00:00,2000-09-17T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2000-09-18T00:00:00,1940-01-16T00:00:00,
239,246,Michel,Béguelin,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-11-09T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1936-08-01T00:00:00,
247,254,Rudolf,Steiner,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1945-08-10T00:00:00,
248,255,Hans,Zbinden,m,Groupe socialiste,Parti socialiste suisse,PSS,1995-12-04T00:00:00,2002-03-22T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2002-03-22T00:00:00,1945-06-07T00:00:00,
254,264,Hermann,Weyeneth,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1943-07-26T00:00:00,
257,267,Samuel,Schmid,m,,Parti bourgeois-démocratique suisse,PBD,2006-01-01T00:00:00,2008-12-31T00:00:00,2000-12-06T00:00:00,2006-01-01T00:00:00,2008-12-31T00:00:00,1947-01-08T00:00:00,
258,268,Simon,Schenk,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1946-05-16T00:00:00,2020-05-01T00:00:00
259,269,Stephanie,Baumann,f,Groupe socialiste,Parti socialiste suisse,PSS,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1951-11-05T00:00:00,
261,273,Brigitta M.,Gadient,f,Groupe BD,Parti bourgeois-démocratique suisse,PBD,2011-09-23T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1960-03-14T00:00:00,
263,275,Theo,Maissen,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1944-09-02T00:00:00,
264,276,Christoffel,Brändli,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1943-03-07T00:00:00,
265,277,Peter,Bieri,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1952-06-21T00:00:00,
267,279,Giuliano,Bignasca,m,Non inscrit,Lega dei Ticinesi,Lega,1999-12-06T00:00:00,2003-11-30T00:00:00,1999-10-24T00:00:00,1999-12-06T00:00:00,2003-11-30T00:00:00,1945-04-10T00:00:00,2013-03-07T00:00:00
268,280,Christiane,Langenberger,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-11-09T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1941-04-21T00:00:00,2015-08-16T00:00:00
273,298,Regine,Aeppli,f,Groupe socialiste,Parti socialiste suisse,PSS,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1952-10-05T00:00:00,
275,301,Boris,Banga,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1949-08-09T00:00:00,
276,303,Käthi,Bangerter,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1937-07-13T00:00:00,
277,304,J. Alexander,Baumann,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1942-12-10T00:00:00,2022-02-02T00:00:00
278,305,Didier,Berberat,m,Groupe socialiste,Parti socialiste suisse,PSS,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1956-12-01T00:00:00,
280,307,Toni,Brunner,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2018-12-31T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2018-12-31T00:00:00,1974-08-23T00:00:00,
282,309,Franco,Cavalli,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-05-29T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-06-03T00:00:00,1942-07-03T00:00:00,
283,310,Pierre,Chiffelle,m,Groupe socialiste,Parti socialiste suisse,PSS,1995-12-04T00:00:00,2002-06-02T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2002-06-03T00:00:00,1957-03-23T00:00:00,
284,311,Yves,Christen,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2006-12-03T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2006-12-03T00:00:00,1941-07-13T00:00:00,
286,313,John,Dupraz,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1945-07-08T00:00:00,
287,314,Adalbert,Durrer,m,Le Groupe du Centre. Le Centre. PEV.,,,1995-12-04T00:00:00,2001-10-05T00:00:00,1995-10-22T00:00:00,1995-12-04T00:00:00,2001-10-05T00:00:00,1950-11-17T00:00:00,2008-04-19T00:00:00
288,315,Toni,Eberhard,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1949-08-25T00:00:00,
289,316,Christine,Egerszegi-Obrist,f,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-11-27T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1948-05-29T00:00:00,
290,317,Melchior,Ehrler,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1948-09-25T00:00:00,
291,318,Edi,Engelberger,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1940-01-26T00:00:00,
292,319,Hans,Fehr,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2011-12-05T00:00:00,2015-11-29T00:00:00,2011-10-23T00:00:00,2011-12-05T00:00:00,2015-11-29T00:00:00,1947-01-14T00:00:00,
294,321,Peter,Föhn,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,2015-11-30T00:00:00,2019-12-01T00:00:00,2015-10-18T00:00:00,2015-11-30T00:00:00,2019-12-01T00:00:00,1952-12-11T00:00:00,
295,322,Jakob,Freund,m,Groupe de l'Union démocratique du Centre,Union Démocratique du Centre,UDC,1995-12-04T00:00:00,2003-11-30T00:00:00,1995-12-04T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1946-06-08T00:00:00,
296,323,Christian,Grobet,m,Groupe socialiste,Alliance de Gauche,AdG,1999-12-16T00:00:00,2003-11-30T00:00:00,1995-10-22T00:00:00,1995-12-04T00:00:00,2003-11-30T00:00:00,1941-07-26T00:00:00,
297,324,Jost,Gross,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2005-05-06T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2005-05-06T00:00:00,1946-03-01T00:00:00,2005-05-06T00:00:00
298,325,Yves,Guisan,m,Groupe libéral-radical,PLR.Les Libéraux-Radicaux,PLR,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1941-07-22T00:00:00,
299,326,Paul,Günter,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1943-05-30T00:00:00,
301,328,Remo,Gysin,m,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1945-02-04T00:00:00,
303,330,Norbert,Hochreutener,m,Le Groupe du Centre. Le Centre. PEV.,Parti démocrate-chrétien suisse,PDC,2007-12-03T00:00:00,2011-12-04T00:00:00,2007-10-21T00:00:00,2007-12-03T00:00:00,2011-12-04T00:00:00,1946-06-10T00:00:00,
304,331,Vreni,Hubmann,f,Groupe socialiste,Parti socialiste suisse,PSS,2003-12-01T00:00:00,2007-12-02T00:00:00,2003-10-19T00:00:00,2003-12-01T00:00:00,2007-12-02T00:00:00,1944-05-15T00:00:00,
