,topic_idx,topic_score,manual_check,topic_words,transcript_words
1598,12,0.042,1,surveillance - terrorisme - organisation - autorité - sécurité - information - délégation - contrôle - terroriste - activité,"['criminalité', 'terrorisme', 'enquête', 'entraide', '80dbi', 'version', 'honneur', 'dépliant', 'variante', 'transmission']"
1649,3,0.218,0,procédure - peine - code - juge - infraction - tribunal - justice - crime - conciliation - acte,"['identité', 'genre', 'souffrance', 'sujet', 'sexe', 'registre', 'civil', 'matin', 'démarche', 'bloc']"
1857,16,1,1,formation - école - apprentissage - étudiant - compétence - maturité - niveau - recherche - enseignant - programme,"['formation', 'prestation', 'organisation', 'acquisition', 'expérience', 'accroissement', 'compétence', 'augmentation', 'sensibilisation', 'apprentissage']"
1880,1,0.011,1,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['campagne', 'canal', 'hygiène', 'diffusion', 'réflexion', 'stratégie', 'objectif', 'angle', 'comportement', 'affiche']"
1894,19,0.16,1,recherche - innovation - programme - participation - encouragement - chercheur - formation - message - financement - contribution,"['recherche', 'implantation', 'stratégie', 'site', 'externalisation', 'gain', 'efficacité', 'budget', 'réorganisation', 'pratique']"
1913,27,1,0,rigueur - jeu - compétence - manoeuvre - marge - acteur - signal - magasin - quota - doigt,"['fumier', 'épandage', 'détail']"
1933,8,0.159,0,loyer - locataire - bail - logement - bailleur - propriétaire - solution - contrat - argent - intérêt,"['maitre', 'direct', 'franchise', 'bourse', 'restauration', 'centaine', 'chaîne', 'établissement', 'contrat', 'affaire']"
1970,16,0.039,1,formation - école - apprentissage - étudiant - compétence - maturité - niveau - recherche - enseignant - programme,"['fléau', 'jeunesse', 'plateforme', 'problème', 'média', 'école', 'ressource', 'force', 'société', 'face']"
2012,13,1,1,budget - crédit - dépense - montant - augmentation - poste - charge - supplément - endettement - personnel,"['budget', 'souveraineté', 'exercice', 'finance', 'tâche', 'début', 'plan', 'solution', 'temps']"
2259,1,0.066,1,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['vote', 'recommandation', 'ensemble', 'blanchiment', 'dépliant', 'conseiller', 'option', 'abstention', 'renforcement', 'session']"
2268,1,0.311,1,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['minute', 'vou', 'administration', 'chiffre', 'montant', 'conseiller', 'base']"
2288,17,0.177,0,culture - film - jeu - vidéo - mineur - message - cinéma - âge - microtransaction - langue,"['jeune', 'réadmission', 'apprentissage', 'mineur', 'impression', 'perspective', 'période', 'crise', 'conseiller', 'condition']"
2320,2,0.222,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['cautionnement', 'navire', 'bénéfice', 'mer', 'transport', 'compagnie', 'aaa', 'cautionnaire', 'cote', 'rame']"
2349,2,0.01,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['revenu', 'assurance', 'job', 'impôt', 'filet', 'type', 'vie', 'incitation', 'crise', 'somme']"
2368,1,0.04,1,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['expert', 'voie', 'doctrine', 'réforme', '50', 'interprétation', 'calendrier', 'rôle', 'spécialiste', 'point']"
2394,26,0.288,0,moratoire - génie - technique - plante - culture - consommateur - puceron - ogm - organisme - producteur,"['puceron', 'savon', 'betterave', 'hectare', 'polluant', 'cycle', 'culture', 'agriculteur', 'conseiller', 'insatisfaction']"
2449,0,0.026,0,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['compétition', 'branche', 'manoeuvre', 'marge', 'sport', 'mois', 'ennui', 'foot', 'base', 'gâteau']"
2568,5,0.186,1,émission - biodiversité - produit - eau - co2 - objectif - pesticide - projet - contre - gaz,"['espèce', 'cite', 'commerce', 'profit', 'flore', 'animal', 'infraction', 'faune', 'destruction', 'virus']"
2575,20,0.068,1,média - presse - radio - redevance - télévision - journaliste - soutien - région - diversité - journal,"['redevance', 'auteur', 'chambre', 'hôtel', 'usage', 'prison', 'cellule', 'propriétaire', 'taxe', 'espace']"
2638,0,0.173,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['crise', 'pandémie', 'accès', 'thème', 'gestion', 'chapitre', 'marché', 'coopération', 'bilatérale', 'rapatriement']"
2707,7,0.336,1,animal - agriculture - production - vin - sucre - agriculteur - élevage - viande - produit - exploitation,"['loup', 'biodiversité', 'protection', 'deal', 'cohabitation', 'régulation', 'vou', 'espèce', 'fois', 'compte']"
2804,0,0.709,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['tabac', 'tabagisme', 'cigarette', 'jeune', 'consommation', 'fumeur', 'interdiction', 'copain', 'produit', 'publicité']"
3021,9,1,1,travail - chômage - salaire - entreprise - travailleur - employeur - indemnité - emploi - assurance - prestation,"['sentiment', 'convention', 'salaire', 'lettre', 'lien', 'part']"
3093,14,0.082,1,asile - donnée - requérant - réfugié - séjour - frontière - information - système - demande - étranger,"['fouille', '8a', 'tierce', 'requérant', 'asile', 'donnée', 'amant', 'farfouillage', 'cousin', 'maîtresse']"
3113,0,1,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['organe', 'consentement', 'don', 'prélèvement', 'principe', 'deuil', 'défunt', 'bioéthique', 'volonté', 'vie']"
3211,8,0.128,0,loyer - locataire - bail - logement - bailleur - propriétaire - solution - contrat - argent - intérêt,"['peine', 'sanction', 'crime', 'vitesse', 'harmonisation', 'violeur', 'fonction', 'alibi', 'valeur', 'dépassement']"
3481,3,0.166,1,procédure - peine - code - juge - infraction - tribunal - justice - crime - conciliation - acte,"['législateur', 'juge', 'notion', 'terme', 'législation', 'flou', 'arbitraire', 'prérogative', 'contestation', 'variante']"
3501,7,0.156,1,animal - agriculture - production - vin - sucre - agriculteur - élevage - viande - produit - exploitation,"['sucre', 'douane', 'chocolat', 'hectare', 'produit', 'production', 'plaque', 'betterave', 'aliment', 'possibilité']"
3576,12,1,0,surveillance - terrorisme - organisation - autorité - sécurité - information - délégation - contrôle - terroriste - activité,"['autorité', 'surveillance', 'membre', 'administration', 'parlement', 'pension', 'actuaire', 'encontre', 'caisse', 'cv']"
3677,6,1,1,armée - guerre - service - matériel - arme - avion - exportation - civil - sécurité - défense,"['guerre', 'matériel', 'exportation', 'armement', 'arme', 'industrie', 'ordonnance', 'interdiction', 'saga', 'conflit']"
3697,0,0.556,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['tabac', 'publicité', 'produit', 'cigarettier', 'santé', 'distribution', 'nicotine', 'enfant', 'fumeur', 'jeune']"
3746,10,0.023,1,sanction - développement - coopération - neutralité - aide - délégation - objectif - embargo - pauvreté - paix,"['neutralité', 'convenance', 'problème', 'étape', 'collaboration', 'plan', 'vue', 'niveau', 'possibilité', 'point']"
3877,9,0.098,1,travail - chômage - salaire - entreprise - travailleur - employeur - indemnité - emploi - assurance - prestation,"['rémunération', 'élément', 'temps', 'vidéoconférence', 'séance', 'raisonnement', 'savez', 'part', 'oeil', 'structure']"
3958,19,1,1,recherche - innovation - programme - participation - encouragement - chercheur - formation - message - financement - contribution,"['innovation', 'encouragement', 'partenaire', 'contribution', 'taux', 'fourchette', 'centre', 'participation', 'coût', 'valeur']"
4000,4,0.171,1,enfant - femme - parent - accueil - violence - mariage - congé - égalité - couple - vie,"['congé', 'paternité', 'semaine', 'allocation', 'manoeuvre', 'marge', 'note', 'tribunal', 'financement', 'législateur']"
4060,9,0.319,1,travail - chômage - salaire - entreprise - travailleur - employeur - indemnité - emploi - assurance - prestation,"['procédure', 'indemnité', 'vacance', 'simplification', 'indemnisation', 'horaire', 'jour', 'discution', 'contrat', 'nécessaire']"
4098,21,0.015,1,sport - manifestation - club - élite - fédération - crédit - football - ligue - soutien - prêt,"['festival', 'semestre', 'crédit', 'manifestation', 'sport', 'expression', 'culture', 'annulation', 'variant', 'zéro']"
4132,6,0.037,1,armée - guerre - service - matériel - arme - avion - exportation - civil - sécurité - défense,"['détachement', 'opérateur', 'pilote', 'reconnaissance', 'armée', 'information', 'intérêt', 'problème', 'exemple', 'point']"
4222,0,1,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['vaccination', 'responsabilité', 'vaccin', 'complication', 'objet', 'fabricant', 'indemnisation', 'épidémie', 'site', 'recommandation']"
4224,8,0.179,0,loyer - locataire - bail - logement - bailleur - propriétaire - solution - contrat - argent - intérêt,"['hospitalisation', 'surcharge', 'extérieur', 'intérieur', 'bâtiment', 'fonction', 'nombre']"
4413,6,0.026,1,armée - guerre - service - matériel - arme - avion - exportation - civil - sécurité - défense,"['autrice', 'cybersécurité', 'cyberattaque', 'analogie', 'subsidiarité', 'formule', 'phénomène', 'renvoi', 'limite', 'révision']"
4443,13,0.135,0,budget - crédit - dépense - montant - augmentation - poste - charge - supplément - endettement - personnel,"['charge', 'personnel', 'élève', 'injonction', 'augmentation', 'plaisir', 'commission', 'faute', 'pourcentage', 'occurrence']"
4448,3,1,1,procédure - peine - code - juge - infraction - tribunal - justice - crime - conciliation - acte,"['avocat', 'office', 'tarif', 'client', 'affairé', 'confrère', 'mieux', 'ajout', 'lecture', 'confiance']"
4469,1,0.159,1,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['association', 'contribution', 'négociation', 'interne', 'phase', 'paramètre', 'mandat', 'préparation', 'entrée', 'message']"
4480,3,0.221,1,procédure - peine - code - juge - infraction - tribunal - justice - crime - conciliation - acte,"['victime', 'peine', 'crime', 'justice', 'débat', 'juriste', 'procès', 'temps', 'paix', 'méthode']"
4582,10,0.058,1,sanction - développement - coopération - neutralité - aide - délégation - objectif - embargo - pauvreté - paix,"['neutralité', 'sanction', 'candidature', 'paix', 'impression', 'appréciation', 'office', 'guerre', 'mandat', 'monde']"
4634,7,0.099,0,animal - agriculture - production - vin - sucre - agriculteur - élevage - viande - produit - exploitation,"['ménagère', 'panier', 'poche', 'usine', 'agriculteur', 'occurrence', 'gaz', 'préoccupation', 'argent', 'processus']"
4669,18,0.501,1,transport - trafic - vélo - marchandise - infrastructure - véhicule - camion - mobilité - réseau - route,"['usager', 'vélo', 'trottoir', 'retrait', 'cycliste', 'route', 'scooter', 'moto', 'accident', 'cascade']"
4726,15,0.134,1,rente - retraite - pilier - réforme - femme - âge - compensation - prévoyance - prestation - revenu,"['pension', 'avance', 'subsidiarité', 'fédéralisme', 'orphelin', 'nécessité', 'administration', 'montant', 'fiscalité', 'niveau']"
4895,26,1,2,moratoire - génie - technique - plante - culture - consommateur - puceron - ogm - organisme - producteur,"['fertilisation', 'module', 'norme', 'date', 'tolérance', 'réunion', 'marge', 'version', 'révision', 'comité']"
4909,6,0.107,1,armée - guerre - service - matériel - arme - avion - exportation - civil - sécurité - défense,"['nation', 'chute', 'dividende', 'évènement', 'paix', 'défense', 'oeil', 'sécurité', 'niveau', 'moyen']"
5019,15,0.043,1,rente - retraite - pilier - réforme - femme - âge - compensation - prévoyance - prestation - revenu,"['pilier', 'différence', 'imposition', 'employé', 'employeur', 'rente', 'taux', 'intérêt']"
5068,0,0.471,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['prime', 'revenu', 'subside', 'maladie', 'assurance', 'coronavirus', 'crise', 'achat', 'pouvoir', 'famille']"
5407,17,0.028,0,culture - film - jeu - vidéo - mineur - message - cinéma - âge - microtransaction - langue,"['adulte', 'limite', 'règle', 'parent', 'âge', 'garçon', 'protecteur', 'enfant', 'responsabilité', 'fille']"
5462,9,0.144,1,travail - chômage - salaire - entreprise - travailleur - employeur - indemnité - emploi - assurance - prestation,"['convention', 'vacance', 'partenariat', 'association', 'salaire', 'semaine', 'travail', 'employeur', 'travailleur', 'code']"
5484,11,0.172,1,énergie - électricité - installation - approvisionnement - production - prix - réseau - chauffage - bâtiment - bois,"['marché', 'électricité', 'entreprise', 'approvisionnement', 'mécanisme', 'dispositif', 'dossier', 'liquidité', 'responsabilité', 'sécurité']"
5501,2,0.118,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['robot', 'robotisation', 'salariat', 'jour', 'supermarché', 'réflexion', 'fiction', 'velléité', 'idée', 'travail']"
5519,11,0.01,1,énergie - électricité - installation - approvisionnement - production - prix - réseau - chauffage - bâtiment - bois,"['bois', 'énergie', 'prix', 'copeau', 'pellet', 'firme', 'variation', 'chaleur', 'durabilité', 'problème']"
5610,5,1,1,émission - biodiversité - produit - eau - co2 - objectif - pesticide - projet - contre - gaz,"['biodiversité', 'agriculture', 'instrument', 'espace', 'prise', 'point', 'biotope', 'aire', 'orateur', 'agglomération']"
5692,0,0.477,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['capacité', 'pic', 'certificat', 'pandémie', 'test', 'vulnérable', '4bi', 'pression', 'réserve', 'cerveau']"
5707,1,0.015,2,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['statistique', 'fondé', 'barrière', 'secret', 'clarification', 'argumentation', 'efficacité', 'établissement', 'transparence', 'bien']"
5728,2,0.122,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['déclaration', 'obligation', 'production', 'argument', 'produit', 'méthode', 'noix', 'consommateur', '4267', 'rejet']"
5736,11,0.471,1,énergie - électricité - installation - approvisionnement - production - prix - réseau - chauffage - bâtiment - bois,"['autoapprovisionnement', 'objectif', 'limitation', 'énergie', 'prix', 'membre', 'aide', 'marché', 'conseiller', 'vue']"
5907,1,0.036,2,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['titre', 'contenu', 'modification', 'vitesse', 'problème', 'travail', 'adaption', 'suite', 'auteur', 'problématique']"
5962,2,0.062,0,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['provenance', 'recherche', 'plateforme', 'collection', 'visibilité', 'art', 'spoliation', 'précédente', 'nazi', 'pouvoir']"
5979,2,0.097,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['répartition', 'modèle', 'impôt', '50', 'argent', 'rendement', 'bénéficiaire', 'investissement', 'part', 'étude']"
6018,13,0.409,1,budget - crédit - dépense - montant - augmentation - poste - charge - supplément - endettement - personnel,"['budget', 'poste', 'finance', 'ministre', 'administration', 'office', 'annonce', 'nombre', 'montant', 'augmentation']"
6041,13,0.253,1,budget - crédit - dépense - montant - augmentation - poste - charge - supplément - endettement - personnel,"['poste', 'pile', 'procédure', 'mouvement', 'retard', 'dossier', 'augmentation', 'nombre', 'travail']"
6069,6,0.008,0,armée - guerre - service - matériel - arme - avion - exportation - civil - sécurité - défense,"['télécommunications', 'téléphonie', 'service', 'réseau', 'contingentement', 'exploitant', 'disponibilité', 'alimentation', 'pénurie', 'électricité']"
6201,2,0.011,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['navire', 'tonnage', 'taxe', 'navigation', 'entreprise', 'modalité', 'branche', 'imposition', 'fonction', 'assujettissement']"
6292,1,0.164,1,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['nouveauté', 'argumentation', 'grâce', 'texte', 'cours', 'vue', 'mise', 'condition', 'oeuvre', 'point']"
6311,8,0.127,1,loyer - locataire - bail - logement - bailleur - propriétaire - solution - contrat - argent - intérêt,"['logement', 'loyer', 'terrain', 'appartement', 'spéculation', 'prix', 'centre', 'gare', 'construction', 'pièce']"
6384,11,0.571,1,énergie - électricité - installation - approvisionnement - production - prix - réseau - chauffage - bâtiment - bois,"['énergie', 'considération', 'équipement', 'surface', 'électricité', 'succès', 'infrastructure', 'mai', 'approvisionnement', 'unanimité']"
6399,13,0.159,1,budget - crédit - dépense - montant - augmentation - poste - charge - supplément - endettement - personnel,"['investissement', 'budget', 'divergence', 'contribution', 'montant', 'condition', 'partie', 'impact', 'privé', 'reconstruction']"
6406,15,0.041,1,rente - retraite - pilier - réforme - femme - âge - compensation - prévoyance - prestation - revenu,"['supplément', 'femme', 'génération', 'amélioration', 'engagement', 'pilier', 'soutenion', 'rente', 'compensation', 'cohorte']"
6425,4,0.254,1,enfant - femme - parent - accueil - violence - mariage - congé - égalité - couple - vie,"['apg', 'allocation', 'enfant', 'congé', 'régime', 'maternité', 'variante', 'révision', 'montant', '3373']"
6556,4,0.159,1,enfant - femme - parent - accueil - violence - mariage - congé - égalité - couple - vie,"['enfant', 'écran', 'scolarité', 'sélection', 'journée', 'droite', 'entrée', 'parent', 'accueil', 'mantra']"
6574,5,0.188,0,émission - biodiversité - produit - eau - co2 - objectif - pesticide - projet - contre - gaz,"['drug', 'effectivité', 'risque', 'réduction', 'usager', 'dose', 'sens', 'base', 'garde', 'limitation']"
6608,1,1,2,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['entreprise', 'commentaire', 'interprétation', 'autorité', 'pénurie', 'circonstanciée', 'mois', 'travail', 'coupure', 'ligne']"
6799,9,0.132,1,travail - chômage - salaire - entreprise - travailleur - employeur - indemnité - emploi - assurance - prestation,"['branche', 'contingentement', 'travail', 'conjoncture', 'sûreté', 'quota', 'équivalent', 'entreprise', 'statistique', 'bailleur']"
6823,11,1,1,énergie - électricité - installation - approvisionnement - production - prix - réseau - chauffage - bâtiment - bois,"['consommation', 'production', 'électricité', 'objectif', 'énergie', 'débit', 'térawattheure', 'concession', 'conséquent', 'part']"
6872,3,0.13,1,procédure - peine - code - juge - infraction - tribunal - justice - crime - conciliation - acte,"['conciliation', 'conférence', 'phrase', 'plaidoirie', 'abstention', 'version', 'écriture', 'délai', 'demandeur', 'nova']"
6878,1,1,2,divergence - vote - transparence - solution - débat - discussion - négociation - raison - point - parti,"['solution', 'niveau', 'vou', 'problème', 'propos', 'chose']"
6930,3,1,1,procédure - peine - code - juge - infraction - tribunal - justice - crime - conciliation - acte,"['procédure', 'frais', 'justice', 'règle', 'citoyen', 'célérité', 'accès', 'conscient', 'compétence', 'commande']"
7112,2,0.269,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['tsunami', 'responsabilité', 'frustration', 'mars', 'dirigeant', 'banque', 'honte', 'confiance', 'établissement', 'lundi']"
7138,2,1,1,entreprise - prix - impôt - marché - produit - convention - douane - consommateur - banque - concurrence,"['faillite', 'banque', 'fail', 'dirigeant', 'banquier', 'fonds', 'client', 'libéralisme', 'entreprise', 'économie']"
7197,0,0.143,1,santé - assurance - coût - soin - prime - maladie - médicament - patient - système - pandémie,"['cigarette', 'terre', 'usage', 'commerce', 'produit', 'compétence', 'objet', 'conseiller', 'mise', 'fois']"
7274,14,1,1,asile - donnée - requérant - réfugié - séjour - frontière - information - système - demande - étranger,"['réinstallation', 'tradition', 'réfugié', 'compétence', 'appel', 'gouvernement', 'refuge', 'prérogative', 'crise', 'contingent']"
7278,15,0.13,2,rente - retraite - pilier - réforme - femme - âge - compensation - prévoyance - prestation - revenu,"['âge', 'discrimination', 'analogie', 'travailleuse', 'jurisprudence', 'vertu', 'employé', 'appréciation', 'travailleur', 'raison']"
7311,4,0.288,1,enfant - femme - parent - accueil - violence - mariage - congé - égalité - couple - vie,"['donneur', 'sperme', 'enfant', 'intérêt', 'géniteur', 'racine', 'procréation', 'information', 'auteure', 'couple']"
,,,,,
,,0,16,,
,,1,76,,
,,2,8,,
,,TOTAL,100,,
,,GOOD %,0.76,,
