,topic_idx,topic_score,manual_check,topic_words,transcript_words
2744,1,0.087,2,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['ordre', 'proportionnalité', 'épidémie', 'compétence', 'verve', 'modification', 'habilité', 'veto', 'façade', 'point']"
2755,0,0.507,0,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['part', 'pourcentage', 'flexibilité', 'directeur', 'total', 'plafond', 'rigueur', 'départ', 'finance', 'différence']"
2853,16,0.142,2,formation - école - apprentissage - étudiant - stage - niveau - compétence - maturité - travail - enseignant,"['fidèle', 'réforme', 'échec', 'compréhension', 'unité', 'opinion', 'critique', 'opportunité', 'argumentation', 'ligne']"
2864,2,0.411,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['homicide', 'meurtre', 'émotion', 'linguiste', 'note', 'code', 'peine', 'circonstance', 'titre', 'tribunal']"
2989,13,0.065,0,rente - retraite - pilier - réforme - femme - compensation - âge - prévoyance - taux - prestation,"['excédent', 'dette', 'endettement', 'frein', 'réforme', 'investisseur', 'fonds', 'doxa', 'boni', 'argumente']"
3112,8,0.178,1,armée - guerre - service - matériel - arme - exportation - avion - civil - armement - défense,"['armée', 'arrêté', 'programme', 'total', 'matériel', 'armement', 'exigence', 'compétence', 'surprise', 'menace']"
3183,1,0.134,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['processus', 'membre', 'alourdissement', 'élimination', 'modification', 'texte', 'étape', 'solution', 'divergence', 'possibilité']"
3184,1,0.238,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['suspension', 'récolte', 'signature', 'pouvoir', 'volet', 'référendum', 'votation', 'norme', 'mue', 'création']"
3309,3,0.221,0,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['prix', 'promoteur', 'entreprise', 'ouest', 'lettre', 'redondance', 'nord', 'futur', 'interrogation', 'rendement']"
3365,1,0.076,0,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['handicap', 'jouissance', 'perspective', 'curatelle', 'réducteur', 'inclusive', 'considération', 'état', 'sillage', 'volonté']"
3368,3,0.085,1,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['institution', 'inflation', 'crainte', 'homme', 'autoallumage', 'création', 'adverbe', 'tâche', 'large', 'ajout']"
3466,10,0.074,0,sanction - développement - coopération - neutralité - objectif - délégation - embargo - stratégie - oeuvre - aide,"['rechange', 'pièce', 'guerre', 'contrat', 'arme', 'confiance', 'règle', 'munition', 'violation', 'exemple']"
3560,3,0.052,2,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['expropriation', 'propriétaire', 'entrepreneur', 'application', 'interprétation', 'déblai', 'expression', 'indemnité', 'indemnise', 'expert']"
3610,7,0.197,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['réchauffement', 'émission', 'degré', 'climat', 'greenwashing', 'serre', 'augmentation', 'gaz', 'redistribution', 'investissement']"
3620,3,0.322,1,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['produit', 'consommateur', 'assiette', 'volonté', 'marché', 'dynamique', 'science', 'avancée', 'instant', 'risque']"
3779,2,0.137,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['chauffard', 'peine', 'sursis', 'circulation', 'violation', 'liberté', 'accident', 'route', 'privation', 'course']"
3889,6,0.192,1,crédit - budget - dépense - impôt - montant - augmentation - endettement - imposition - compte - crise,"['plafonnement', 'dépense', 'scénario', 'pandémie', 'acteur', 'secteur', 'extrapolation', 'culture', 'budget', 'dynamisme']"
3893,4,0.085,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['rejeton', 'budget', 'maltraitance', 'écoute', 'signalement', 'réduction', 'moyen', 'ore', 'actualité', 'sport']"
3909,0,0.278,2,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['électeur', 'vaccination', 'décès', 'pandémie', 'vaccin', 'allée', 'figuré', 'ivermectine', 'vermifuge', 'campagne']"
3962,0,0.31,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['surcharge', 'hôpital', 'réalité', 'santé', 'soin', 'infection', 'accès', 'constat', 'mois', 'considéron']"
3991,13,0.069,1,rente - retraite - pilier - réforme - femme - compensation - âge - prévoyance - taux - prestation,"['prévoyance', 'gain', 'travailleur', 'diminution', 'exception', 'vigueur', 'optimisation', 'moment', 'carrière', 'niveau']"
4008,0,0.689,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['vaccination', 'responsabilité', 'vaccin', 'complication', 'objet', 'fabricant', 'indemnisation', 'épidémie', 'site', 'recommandation']"
4059,5,1,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['poule', 'animal', 'démultiplication', 'produit', 'exploitation', 'force', 'élevage', 'prix', 'contrainte', 'producteur']"
4118,4,0.008,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['élaboration', 'cours', 'travail', 'avancement', 'handicap', 'élément', 'suite', 'tarif', 'parent', 'accueil']"
4121,4,0.059,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['congé', 'allocation', 'cotisation', 'gain', 'paternité', 'perte', 'employeur', 'hausse', 'tribunal', 'manoeuvre']"
4128,15,0.109,2,violence - terrorisme - sécurité - menace - organisation - victime - lutte - paix - terroriste - attaque,"['organisation', 'liste', 'renseignement', 'mouvance', 'propagande', 'dangerosité', 'sursis', 'signe', 'preuve', 'activité']"
4242,5,0.447,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['agriculteur', 'agriculture', 'consommateur', 'production', 'prix', 'modèle', 'modalité', 'revenu', 'légume', 'start']"
4319,7,1,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['émission', 'serre', 'glacier', 'gaz', 'ceate', 'énergie', 'carburant', 'degré', 'région', 'combustible']"
4377,3,0.142,1,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['plateforme', 'parité', 'concurrence', 'condition', 'clause', 'hôtelier', 'violation', 'hôtel', 'consommateur', 'établissement']"
4424,14,0.143,1,transport - trafic - véhicule - vélo - vol - mobilité - infrastructure - marchandise - aviation - camion,"['usager', 'vélo', 'trottoir', 'retrait', 'cycliste', 'route', 'scooter', 'moto', 'accident', 'cascade']"
4518,0,1,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['épidémie', 'analyse', 'liberté', 'révision', 'vague', 'frontalier', 'pandémie', 'faisabilité', 'ami', 'quarantaine']"
4540,12,0.217,1,énergie - électricité - installation - approvisionnement - production - prix - chauffage - marché - réseau - bâtiment,"['énergie', 'propriétaire', 'immobilisme', 'autonomie', 'ingénieur', 'bâtiment', 'électricité', 'photovoltaïque', 'terrain', 'marche']"
4590,7,0.032,1,biodiversité - émission - eau - produit - objectif - pesticide - gaz - réduction - utilisation - énergie,"['émission', 'recherche', 'captation', 'technologie', 'stockage', 'procédé', 'séquestration', 'atmosphère', 'réduction', 'technique']"
4655,8,0.672,1,armée - guerre - service - matériel - arme - exportation - avion - civil - armement - défense,"['défense', 'département', 'armée', 'budget', 'soldat', 'enveloppe', 'allocation', 'gain', 'perte', 'réalité']"
4661,14,1,1,transport - trafic - véhicule - vélo - vol - mobilité - infrastructure - marchandise - aviation - camion,"['kérosène', 'aviation', 'émission', 'réchauffement', 'hydrogène', 'échelle', 'avion', 'taxation', 'vol', 'serre']"
4668,2,0.23,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['salarié', 'avocat', 'procédure', 'dépens', 'frais', 'assurance', 'justice', 'monopole', 'dizaine', 'millier']"
4821,2,0.109,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['instruction', 'département', 'forfait', 'carte', 'assemblée', 'peine', 'intervention', 'système']"
4996,12,0.207,1,énergie - électricité - installation - approvisionnement - production - prix - chauffage - marché - réseau - bâtiment,"['mazout', 'installation', 'bois', 'injustice', 'chauffage', 'maison', 'subvention', 'propriétaire', 'méthode', 'matin']"
5021,0,1,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['narcose', 'prime', 'maladie', 'hausse', 'impôt', 'assurance', 'santé', 'coût', 'concitoyen', 'système']"
5024,0,1,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['prime', 'assuré', 'augmentation', 'assurance', 'maladie', 'spirale', 'coût', 'réduction', 'oreiller', 'hausse']"
5045,5,1,1,animal - agriculture - production - vin - sucre - agriculteur - produit - exploitation - élevage - viande,"['loup', 'éleveur', 'meute', 'présence', 'population', 'bétail', 'régulation', 'valeur', 'génisse', 'pâture']"
5092,0,0.334,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['dose', 'vaccination', 'matin', 'office', 'cdf', 'autocontrôle', 'contrat', 'processus', 'problème', 'stratégie']"
5216,1,0.304,1,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['surveillance', 'compromis', 'délégation', 'issue', 'temps', 'substance', 'passé', 'opposition', 'finance', 'outil']"
5488,6,0.271,1,crédit - budget - dépense - impôt - montant - augmentation - endettement - imposition - compte - crise,"['différence', 'état', 'crédit', 'financement', 'information', 'cours', 'conseiller', 'moment', 'fin', 'système']"
5621,0,1,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['patient', 'dossier', 'transmission', 'travers', 'argumentation', 'facture', 'note', 'travail', 'assureur', 'avril']"
5713,6,0.315,0,crédit - budget - dépense - impôt - montant - augmentation - endettement - imposition - compte - crise,"['hiver', 'action', 'incertitude', 'energie', 'renforcement', 'innovation', 'plaie', 'énergie', 'aller', 'budget']"
5720,18,1,1,recherche - innovation - programme - expérimentation - encouragement - participation - formation - message - chercheur - animal,"['sport', 'éthique', 'chercheur', 'progrès', 'accueil', 'innovation', 'culture', 'plaie', 'cerveau', 'championnat']"
5739,3,1,0,entreprise - prix - marché - produit - consommateur - douane - concurrence - tourisme - secteur - taxe,"['imposition', 'entreprise', 'impôt', 'réforme', 'pilier', 'péréquation', 'recette', 'votation', 'bénéfice', 'enjeu']"
5815,4,0.059,1,enfant - femme - parent - accueil - mariage - congé - égalité - famille - travail - vie,"['naturalisation', 'génération', 'grand', 'parent', 'candidat', 'procédure', 'séjour', 'aspect', 'administration', 'école']"
5892,1,0.083,2,transparence - vote - divergence - surveillance - travail - point - information - négociation - membre - manière,"['lifd', 'pavillon', 'délocalisation', 'exigence', 'vote', 'navire', 'libéralisation', 'motivation', 'conception', 'regard']"
5912,13,0.11,1,rente - retraite - pilier - réforme - femme - compensation - âge - prévoyance - taux - prestation,"['rente', 'retraite', 'dignement', 'pilier', 'vieillesse', 'prestation', 'démentie', 'lotie', 'gouffre', 'coupole']"
5973,2,0.139,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['fonctionnaire', 'police', 'agresseur', 'policier', 'force', 'présomption', 'état', 'fonction', 'intervention', 'nécessité']"
6248,0,0.106,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['iode', 'distribution', 'kilomètre', 'comprimé', 'rayon', 'événement', 'centrale', 'évènement', 'analyse', 'prise']"
6517,9,0.128,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['plateforme', 'travail', 'travailleur', 'travailleuse', 'présomption', 'régulation', 'salarié', 'service', 'statut', 'profusion']"
6533,15,1,1,violence - terrorisme - sécurité - menace - organisation - victime - lutte - paix - terroriste - attaque,"['interopérabilité', 'neutralité', 'collaboration', 'menace', 'armée', 'illusion', 'sécurité', 'catastrophe', 'amplification', 'banditisme']"
6535,15,0.063,0,violence - terrorisme - sécurité - menace - organisation - victime - lutte - paix - terroriste - attaque,"['soldat', 'munition', 'citoyen', 'arme', 'poche', 'militaire', 'concept', 'obligation', 'mobilisation', 'paix']"
6552,9,0.072,1,travail - chômage - travailleur - convention - salaire - employeur - harcèlement - entreprise - ratification - emploi,"['chômage', 'vendeur', 'profession', 'obligation', 'barmaid', 'barman', 'cuisinière', 'cuisinier', 'baisse', 'normalisation']"
6637,2,0.321,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['sursis', 'peine', 'appréciation', 'dilemme', 'légèreté', 'considération', 'liberté', 'consultation', 'systématique', 'divorce']"
6661,2,0.198,1,procédure - peine - code - juge - infraction - locataire - tribunal - justice - acte - crime,"['mineur', 'délinquant', 'internement', 'code', 'assassinat', 'sanction', 'adulte', 'placement', 'interdiction', 'application']"
6671,17,0.124,0,culture - jeu - film - vidéo - message - mineur - cinéma - musée - microtransaction - langue,"['insatisfaction', 'déclamatoire', 'évaluation', 'préventive', 'élément', 'documentation', 'joueur', 'clarté', 'pourcentage', 'note']"
6726,13,0.058,1,rente - retraite - pilier - réforme - femme - compensation - âge - prévoyance - taux - prestation,"['pilier', 'réforme', 'travail', 'résultat', 'chiffré', 'vote', 'demi', 'conférence', 'issue', 'fois']"
6812,0,0.036,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['cigarette', 'terre', 'usage', 'commerce', 'produit', 'compétence', 'conseiller', 'objet', 'mise', 'fois']"
6834,0,0.04,1,santé - assurance - coût - soin - prime - maladie - patient - médicament - système - pandémie,"['sang', 'approvisionnement', 'gratuité', 'don', 'produit', 'aide', 'population', 'épidémie', 'importation', 'août']"
,,,,,
,,,13,,
,,,79,,
,,,8,,
,,,100,,
,,,0.79,,
